trans_id,transaction_total,customer_id,time_of_day
trans112,14.27,1548,18:23:37
trans113,26.27,1236,17:49:34
trans114,15.27,418,13:25:30
trans115,19.5,2285,17:38:09
trans116,17.77,1605,09:10:24
trans117,12.6,1476,15:30:58
trans118,13.0,2395,10:03:06
trans119,25.619999999999997,301,09:30:47
trans120,36.0,1632,09:42:56
trans121,20.0,65,13:41:56
trans122,9.5,1188,14:04:35
trans123,18.25,1214,19:42:02
trans124,28.27,2389,18:52:00
trans125,24.5,2155,11:43:40
trans126,23.5,2309,14:57:57
trans127,15.0,342,11:35:12
trans128,25.5,383,11:52:57
trans129,11.0,1532,12:33:51
trans130,23.73,2320,17:06:16
trans131,23.48,954,12:26:48
trans132,27.54,221,15:18:51
trans133,27.27,1385,19:38:14
trans134,22.619999999999997,399,10:25:12
trans135,13.77,2208,10:20:41
trans136,21.77,1060,17:58:03
trans137,24.5,96,17:48:57
trans138,20.27,1616,18:35:34
trans139,16.02,2009,19:43:52
trans140,16.37,1398,11:10:00
trans141,17.25,1474,19:37:15
trans142,22.5,1598,19:26:30
trans143,31.369999999999997,323,09:05:13
trans144,31.119999999999997,18,10:51:19
trans145,32.0,1507,09:47:48
trans146,14.52,1278,13:59:27
trans147,7.5,1940,14:34:36
trans148,25.39,1886,11:19:27
trans149,18.75,976,09:17:02
trans150,19.619999999999997,831,13:15:14
trans151,16.77,2124,18:33:59
trans152,16.1,1934,13:58:22
trans153,20.23,1288,14:54:54
trans154,9.77,1333,09:00:25
trans155,23.119999999999997,974,15:22:50
trans156,15.639999999999999,1624,13:00:00
trans157,17.27,1899,11:22:43
trans158,20.75,2290,14:38:05
trans159,14.27,294,19:59:59
trans160,23.89,2415,11:12:50
trans161,21.77,2233,11:30:43
trans162,16.369999999999997,1261,12:50:08
trans163,18.39,1323,13:45:04
trans164,18.869999999999997,1020,10:17:09
trans165,6.27,234,16:13:21
trans166,10.54,660,13:22:46
trans167,19.0,262,10:48:19
trans168,21.77,1754,15:28:32
trans169,15.27,2128,11:48:44
trans170,19.5,1356,13:12:06
trans171,20.02,87,16:17:36
trans172,30.119999999999997,1236,11:10:47
trans173,16.5,500,19:52:39
trans174,21.0,372,12:20:14
trans175,19.35,1970,16:16:36
trans176,22.0,490,19:23:43
trans177,17.77,1165,09:59:44
trans178,10.27,435,13:12:38
trans179,27.87,1714,13:15:54
trans180,14.75,751,09:51:49
trans181,18.869999999999997,1420,11:23:42
trans182,22.27,191,10:58:02
trans183,27.75,2118,18:37:43
trans184,20.0,775,18:31:13
trans185,24.23,1277,17:30:17
trans186,24.87,1035,11:34:33
trans187,13.0,146,11:10:51
trans188,13.5,1535,12:42:23
trans189,10.27,1926,09:36:11
trans190,29.5,1421,12:07:10
trans191,22.619999999999997,1938,12:14:42
trans192,10.0,535,16:14:14
trans193,14.77,968,13:42:53
trans194,23.1,1645,19:42:33
trans195,24.1,256,13:51:56
trans196,20.48,865,14:14:18
trans197,9.5,2431,11:53:50
trans198,14.37,1098,09:13:22
trans199,15.37,1216,09:41:53
trans200,26.5,2404,09:01:08
trans201,29.0,1600,09:55:00
trans202,14.77,2073,14:18:12
trans203,23.5,1382,14:25:57
trans204,19.27,1724,18:11:25
trans205,9.77,1538,16:28:27
trans206,7.0,2388,15:02:44
trans207,14.77,186,17:34:07
trans208,15.27,1007,10:48:05
trans209,35.769999999999996,1819,17:07:26
trans210,27.73,268,17:09:53
trans211,27.1,614,15:39:19
trans212,28.77,1351,13:22:00
trans213,30.27,1950,18:58:29
trans214,10.5,2430,11:07:57
trans215,21.77,1005,09:00:33
trans216,17.0,637,12:45:22
trans217,23.1,1703,19:32:37
trans218,17.25,1589,10:50:48
trans219,16.0,633,11:15:38
trans220,26.119999999999997,1161,11:50:30
trans221,25.619999999999997,1397,13:29:17
trans222,21.869999999999997,249,12:56:00
trans223,21.77,1258,18:47:16
trans224,26.5,1897,11:37:06
trans225,14.27,2177,19:53:36
trans226,21.0,1518,11:29:31
trans227,22.869999999999997,606,09:56:54
trans228,22.5,1041,16:20:32
trans229,13.27,1641,13:55:17
trans230,25.75,1490,09:01:27
trans231,6.5,111,15:04:22
trans232,16.0,1577,14:45:50
trans233,15.27,2494,09:34:27
trans234,25.87,1144,15:30:39
trans235,14.85,119,12:11:27
trans236,11.0,217,12:07:12
trans237,28.1,496,11:50:42
trans238,13.27,469,11:07:05
trans239,26.39,2452,16:17:32
trans240,15.77,1505,14:14:11
trans241,19.77,596,14:24:32
trans242,16.0,158,17:46:34
trans243,27.02,1176,10:55:40
trans244,20.27,1874,16:36:17
trans245,22.23,1172,09:31:06
trans246,16.02,1388,18:07:40
trans247,20.5,1939,18:18:47
trans248,13.5,2273,19:14:12
trans249,33.769999999999996,1675,14:35:13
trans250,22.27,2151,15:13:50
trans251,21.27,1615,18:04:07
trans252,18.77,2151,09:11:55
trans253,10.75,2106,19:51:18
trans254,23.39,1164,12:37:59
trans255,10.25,2288,11:49:40
trans256,15.25,1674,19:46:41
trans257,3.77,833,15:58:14
trans258,21.39,357,17:44:52
trans259,19.27,1008,18:15:31
trans260,14.25,2072,19:49:22
trans261,24.0,1907,13:08:18
trans262,17.5,1350,14:36:23
trans263,18.619999999999997,1909,14:28:11
trans264,18.29,1383,10:11:47
trans265,33.019999999999996,1246,10:47:20
trans266,35.39,2321,09:43:16
trans267,21.27,564,11:18:43
trans268,24.02,393,19:28:16
trans269,20.5,1106,16:15:25
trans270,23.0,1814,13:46:35
trans271,10.52,1593,12:23:17
trans272,28.0,353,09:22:15
trans273,31.0,1208,18:52:34
trans274,20.27,677,18:00:35
trans275,16.619999999999997,2090,15:40:28
trans276,29.0,991,12:21:21
trans277,24.5,1249,14:36:05
trans278,12.27,630,11:27:16
trans279,14.52,259,15:16:46
trans280,35.0,511,18:19:17
trans281,24.5,1033,17:37:27
trans282,20.77,2329,09:51:35
trans283,24.25,2284,16:15:54
trans284,28.1,210,12:51:36
trans285,9.0,382,13:27:32
trans286,19.37,663,14:52:54
trans287,25.0,832,09:46:15
trans288,24.0,1954,19:04:17
trans289,15.0,2455,15:58:51
trans290,20.77,1653,18:15:29
trans291,19.77,2059,17:53:58
trans292,17.89,2376,18:46:47
trans293,31.87,1641,15:41:19
trans294,20.77,1414,10:51:08
trans295,31.119999999999997,2055,15:25:15
trans296,15.6,611,18:36:48
trans297,31.85,1971,11:16:46
trans298,22.89,2481,18:40:07
trans299,23.39,1239,17:16:57
trans300,7.5,1429,10:15:32
trans301,22.0,2168,12:01:57
trans302,28.35,2382,11:08:15
trans303,10.25,1866,19:39:10
trans304,22.27,2275,10:55:50
trans305,13.77,701,18:23:30
trans306,13.5,1663,15:28:58
trans307,38.5,1616,15:24:20
trans308,28.77,963,12:19:08
trans309,17.54,526,14:12:30
trans310,17.77,1144,16:02:02
trans311,7.5,1560,11:32:01
trans312,11.27,220,17:44:21
trans313,40.5,1023,14:48:39
trans314,32.0,2241,09:19:41
trans315,20.0,1338,13:29:08
trans316,22.64,1048,14:12:29
trans317,12.77,2087,16:55:24
trans318,32.37,1041,18:22:11
trans319,22.0,1409,13:39:06
trans320,15.77,389,16:48:39
trans321,12.23,2480,19:30:23
trans322,20.619999999999997,1407,18:03:09
trans323,17.0,648,18:59:58
trans324,20.0,302,17:51:53
trans325,27.77,991,09:09:28
trans326,28.79,2485,11:49:09
trans327,22.7,2197,14:34:41
trans328,12.75,1261,12:06:39
trans329,10.77,1019,14:50:21
trans330,14.52,2427,19:50:12
trans331,15.25,2220,12:38:30
trans332,19.5,2208,10:39:19
trans333,7.6,691,13:52:15
trans334,26.77,973,17:09:27
trans335,20.27,1615,17:49:07
trans336,14.27,1544,11:33:22
trans337,18.5,582,18:41:48
trans338,17.27,955,18:40:14
trans339,34.5,1656,19:03:36
trans340,34.5,1386,14:57:31
trans341,14.54,2321,12:48:33
trans342,22.27,1522,09:01:25
trans343,19.73,1145,12:04:40
trans344,27.0,2489,16:20:55
trans345,15.75,957,10:01:45
trans346,18.77,148,11:22:17
trans347,16.0,1543,15:13:36
trans348,20.27,1827,12:07:51
trans349,13.62,2367,14:26:07
trans350,16.35,832,16:02:21
trans351,14.5,996,15:23:53
trans352,11.5,126,11:17:57
trans353,23.73,198,16:44:12
trans354,15.73,2251,11:08:51
trans355,33.5,484,11:29:02
trans356,13.0,430,19:46:52
trans357,12.27,1307,14:44:31
trans358,20.5,1690,18:58:48
trans359,24.6,53,15:40:51
trans360,22.0,2416,16:42:05
trans361,14.79,252,11:49:34
trans362,22.83,1545,19:00:08
trans363,6.27,826,11:06:01
trans364,19.77,986,16:07:47
trans365,18.5,1432,18:18:52
trans366,27.39,1639,09:25:58
trans367,10.0,2345,18:48:37
trans368,32.5,809,18:19:33
trans369,23.64,1363,16:02:04
trans370,24.23,1593,11:22:15
trans371,39.769999999999996,641,17:54:47
trans372,16.619999999999997,321,11:46:04
trans373,17.77,2166,17:51:31
trans374,14.77,2301,18:56:13
trans375,24.0,523,17:32:09
trans376,22.54,1434,19:57:02
trans377,34.480000000000004,272,18:22:42
trans378,8.5,1422,13:10:20
trans379,27.77,2428,18:33:28
trans380,16.1,1832,12:53:14
trans381,23.39,807,16:53:14
trans382,14.02,1155,15:14:54
trans383,13.77,783,09:49:29
trans384,17.77,1517,10:56:27
trans385,22.5,1061,11:55:21
trans386,27.27,1869,17:55:40
trans387,25.5,1032,11:14:13
trans388,10.85,1482,18:30:06
trans389,26.77,1817,17:13:25
trans390,13.0,1795,16:32:09
trans391,31.79,1647,12:15:07
trans392,15.5,368,15:32:15
trans393,18.39,1983,18:25:38
trans394,22.39,978,17:34:49
trans395,14.27,1021,13:53:59
trans396,15.77,1746,13:31:00
trans397,16.27,273,11:03:06
trans398,19.0,1573,17:33:18
trans399,31.619999999999997,960,16:19:09
trans400,28.119999999999997,1665,11:29:45
trans401,16.0,381,19:46:41
trans402,21.27,1463,14:10:51
trans403,19.04,2275,17:18:38
trans404,15.75,1125,15:14:12
trans405,5.5,551,09:50:22
trans406,18.869999999999997,493,13:14:26
trans407,32.77,1933,16:16:05
trans408,16.77,775,17:51:28
trans409,22.119999999999997,2264,09:00:23
trans410,19.5,610,13:18:22
trans411,26.0,1775,19:47:18
trans412,14.77,1983,18:14:04
trans413,15.0,1284,19:05:20
trans414,28.5,1970,17:20:07
trans415,26.35,381,10:57:38
trans416,27.869999999999997,945,14:53:15
trans417,18.48,2487,19:24:55
trans418,19.5,1969,14:40:45
trans419,24.27,1404,13:14:16
trans420,14.77,1,15:49:41
trans421,23.75,1796,15:53:29
trans422,11.6,493,10:02:45
trans423,23.0,1350,09:01:14
trans424,24.0,1791,14:45:28
trans425,34.0,1985,11:43:53
trans426,7.5,2034,18:19:28
trans427,28.75,1587,16:03:13
trans428,21.5,1347,15:18:47
trans429,23.77,2234,18:24:59
trans430,12.77,100,16:48:46
trans431,29.35,1505,13:31:28
trans432,14.0,2331,15:32:39
trans433,26.0,1858,10:09:01
trans434,22.0,1825,19:59:50
trans435,9.0,1597,13:22:03
trans436,16.0,463,16:59:46
trans437,25.04,2021,12:22:50
trans438,25.5,1165,12:46:38
trans439,23.369999999999997,2362,12:52:07
trans440,16.0,414,16:16:32
trans441,24.6,2097,16:52:35
trans442,21.47,585,14:14:04
trans443,19.04,1303,16:21:26
trans444,32.6,2404,13:46:00
trans445,16.04,1006,11:39:38
trans446,23.0,1499,17:49:01
trans447,14.0,1988,11:32:28
trans448,16.5,1106,16:13:27
trans449,39.269999999999996,830,11:46:57
trans450,14.27,1805,12:50:46
trans451,18.0,2120,18:02:49
trans452,16.0,2060,11:37:19
trans453,18.27,664,18:05:21
trans454,18.6,1425,16:33:54
trans455,21.5,1120,13:28:14
trans456,14.77,693,14:56:15
trans457,11.5,2309,13:49:45
trans458,22.77,425,17:25:40
trans459,15.25,1495,18:21:20
trans460,10.87,1828,14:13:57
trans461,19.619999999999997,1084,19:58:42
trans462,14.64,561,10:30:45
trans463,18.27,2281,14:38:54
trans464,32.5,694,12:34:50
trans465,25.5,294,09:13:51
trans466,19.6,1577,14:08:35
trans467,30.5,2453,14:31:34
trans468,16.52,2208,13:21:39
trans469,12.27,644,13:56:53
trans470,26.1,2341,15:08:14
trans471,21.5,1570,11:06:11
trans472,14.77,378,11:09:29
trans473,37.0,1775,16:48:16
trans474,19.77,2305,18:16:19
trans475,12.48,102,18:38:25
trans476,20.85,1191,12:11:20
trans477,24.27,2373,11:18:36
trans478,22.1,1176,15:59:54
trans479,12.25,909,15:42:43
trans480,15.389999999999999,1579,11:43:22
trans481,17.5,1763,17:55:05
trans482,13.52,519,10:30:41
trans483,26.77,2300,16:56:24
trans484,15.1,577,13:00:09
trans485,21.6,2469,19:55:27
trans486,27.0,1702,09:36:03
trans487,12.0,1249,11:11:21
trans488,21.52,676,19:00:00
trans489,25.27,82,16:05:11
trans490,32.0,1544,16:03:50
trans491,27.619999999999997,8,16:13:52
trans492,31.5,2036,12:28:40
trans493,14.0,119,12:30:37
trans494,21.27,535,10:17:19
trans495,25.77,857,17:44:50
trans496,13.75,954,13:13:48
trans497,25.6,2486,10:41:49
trans498,15.1,1265,10:31:20
trans499,31.5,2087,09:25:09
trans500,20.5,2323,10:35:39
trans501,27.54,1521,09:30:58
trans502,13.5,2433,18:00:40
trans503,20.77,310,16:45:32
trans504,3.25,325,12:37:06
trans505,22.27,149,17:23:26
trans506,28.39,1603,13:35:24
trans507,17.89,1131,18:42:40
trans508,29.6,711,16:47:02
trans509,19.27,1327,15:46:24
trans510,24.6,2161,18:14:53
trans511,16.5,684,10:04:04
trans512,8.5,1304,17:51:56
trans513,15.5,1288,15:23:55
trans514,17.89,2362,17:32:32
trans515,25.75,1288,16:03:16
trans516,16.619999999999997,1696,15:07:23
trans517,22.39,2276,13:05:01
trans518,36.769999999999996,414,15:51:41
trans519,27.0,37,19:00:10
trans520,6.6,1306,18:03:29
trans521,15.6,1108,15:42:35
trans522,21.1,1828,10:04:30
trans523,18.27,3,10:41:22
trans524,23.119999999999997,2181,09:56:49
trans525,19.0,2211,10:17:23
trans526,20.27,2356,10:04:13
trans527,22.119999999999997,2215,17:44:24
trans528,34.25,1757,14:32:03
trans529,26.0,2006,17:06:08
trans530,19.0,593,16:47:11
trans531,16.0,560,13:54:11
trans532,18.77,1585,10:23:02
trans533,27.5,1728,09:11:51
trans534,24.0,93,16:35:11
trans535,26.14,100,14:23:50
trans536,27.5,2265,13:54:10
trans537,37.269999999999996,65,13:58:50
trans538,20.5,1837,16:35:53
trans539,4.5,938,19:53:49
trans540,18.89,1319,15:48:00
trans541,12.0,710,19:13:48
trans542,25.27,2132,16:43:21
trans543,10.0,1663,19:17:09
trans544,19.6,705,16:25:07
trans545,11.27,1328,15:08:04
trans546,21.5,100,18:15:15
trans547,31.5,2044,09:28:27
trans548,25.619999999999997,1866,15:37:38
trans549,9.6,2341,11:15:40
trans550,25.54,1049,15:25:39
trans551,22.27,1323,16:57:46
trans552,34.54,868,19:48:31
trans553,11.77,1210,17:23:27
trans554,9.54,1395,10:10:53
trans555,23.0,1419,12:00:26
trans556,32.6,260,19:55:44
trans557,13.77,1929,18:33:58
trans558,28.75,2013,17:52:16
trans559,27.27,761,12:30:05
trans560,19.77,687,16:29:22
trans561,36.769999999999996,2449,18:48:13
trans562,6.77,1162,13:07:29
trans563,31.5,269,19:51:25
trans564,14.0,1493,17:15:38
trans565,18.83,154,11:21:02
trans566,20.77,1238,18:07:23
trans567,15.0,1904,18:49:58
trans568,18.77,2022,17:01:53
trans569,11.27,2007,17:35:49
trans570,13.0,2166,17:44:14
trans571,20.73,738,19:23:54
trans572,21.27,1933,14:50:45
trans573,12.27,243,15:10:25
trans574,25.5,771,17:47:13
trans575,23.77,1790,14:58:34
trans576,23.369999999999997,2438,16:13:49
trans577,31.96,1030,13:10:46
trans578,25.5,1601,14:42:35
trans579,30.5,664,19:12:08
trans580,16.5,1730,10:56:17
trans581,18.25,1971,13:17:58
trans582,8.77,2358,13:54:09
trans583,20.5,1520,10:33:14
trans584,22.25,1789,12:24:10
trans585,12.5,1958,19:08:05
trans586,23.619999999999997,648,16:13:05
trans587,38.16,1474,13:27:43
trans588,24.1,1261,14:14:53
trans589,15.77,1534,15:33:20
trans590,14.87,2338,13:11:26
trans591,21.27,2458,09:29:16
trans592,17.5,922,14:44:46
trans593,28.22,936,15:30:48
trans594,23.77,467,09:53:47
trans595,16.5,1444,16:41:24
trans596,25.869999999999997,2477,15:58:00
trans597,17.5,379,17:35:34
trans598,18.23,1008,15:48:08
trans599,16.6,1377,18:24:45
trans600,23.0,2135,15:35:56
trans601,15.0,103,09:29:04
trans602,22.619999999999997,148,10:37:47
trans603,20.27,1909,12:36:39
trans604,19.87,1094,13:43:13
trans605,7.1,94,16:36:51
trans606,24.0,887,17:54:37
trans607,16.1,2215,14:46:22
trans608,28.89,1908,17:28:46
trans609,34.519999999999996,769,09:14:44
trans610,20.77,1680,13:04:58
trans611,11.0,2353,14:05:58
trans612,12.85,376,11:05:35
trans613,20.5,12,16:43:23
trans614,26.0,492,14:47:39
trans615,16.77,2171,13:47:42
trans616,13.6,359,15:04:21
trans617,11.0,428,18:03:37
trans618,9.77,1646,17:08:25
trans619,9.02,1304,11:35:27
trans620,19.5,1380,14:58:58
trans621,20.5,1234,19:07:50
trans622,20.02,416,12:15:29
trans623,23.119999999999997,2095,11:41:56
trans624,20.27,2409,15:17:33
trans625,23.0,1310,19:39:33
trans626,15.0,1528,14:12:06
trans627,18.77,1503,13:13:55
trans628,19.0,1568,18:02:50
trans629,19.1,1801,10:16:25
trans630,10.0,828,13:26:03
trans631,22.54,286,09:44:30
trans632,3.0,1925,14:30:01
trans633,12.73,275,17:09:17
trans634,3.0,672,19:17:00
trans635,18.0,292,18:50:44
trans636,22.1,2147,16:00:09
trans637,13.75,331,13:27:43
trans638,27.54,2220,19:49:01
trans639,18.39,1014,11:48:38
trans640,12.27,1934,13:24:09
trans641,20.27,965,19:42:53
trans642,14.0,1634,09:47:20
trans643,21.0,1937,13:37:39
trans644,9.02,141,14:29:49
trans645,20.73,2437,12:25:14
trans646,16.369999999999997,19,18:16:40
trans647,25.0,1725,14:30:40
trans648,28.5,2143,18:22:48
trans649,12.0,1010,19:25:14
trans650,23.6,1395,16:55:28
trans651,23.73,1778,16:38:28
trans652,19.25,418,14:16:22
trans653,28.369999999999997,1311,12:12:45
trans654,16.1,2286,12:44:11
trans655,16.5,221,09:44:19
trans656,19.37,2443,16:04:15
trans657,22.75,1679,16:53:46
trans658,21.5,1861,19:28:10
trans659,20.1,1332,12:40:27
trans660,17.89,578,18:23:02
trans661,13.5,1715,18:15:41
trans662,23.27,1235,11:09:32
trans663,27.27,1473,13:20:46
trans664,20.5,921,13:30:23
trans665,22.1,983,12:28:53
trans666,30.25,964,16:04:39
trans667,19.75,1752,16:42:02
trans668,12.75,1475,11:51:51
trans669,20.89,1495,18:39:19
trans670,9.27,301,16:38:04
trans671,16.0,1678,10:51:01
trans672,15.5,327,18:43:14
trans673,20.48,1942,15:08:10
trans674,25.5,1682,18:56:23
trans675,22.619999999999997,1086,09:23:20
trans676,23.23,734,09:12:23
trans677,24.5,668,13:20:22
trans678,20.75,954,17:26:06
trans679,28.5,1282,10:29:45
trans680,22.869999999999997,1814,14:22:51
trans681,19.6,1552,15:09:06
trans682,22.23,2446,10:18:50
trans683,19.6,958,13:39:18
trans684,5.0,514,16:29:19
trans685,27.1,899,11:05:40
trans686,10.77,2455,11:28:55
trans687,29.27,1685,13:44:13
trans688,17.369999999999997,2456,15:38:08
trans689,14.12,351,17:51:37
trans690,23.25,223,09:04:48
trans691,29.5,1389,11:16:02
trans692,25.0,691,12:50:50
trans693,21.02,2191,16:48:50
trans694,6.77,1292,09:03:44
trans695,24.0,2169,19:33:01
trans696,11.0,1175,11:57:07
trans697,28.0,1388,11:41:22
trans698,31.0,798,19:16:45
trans699,14.0,980,13:03:03
trans700,12.48,1976,18:49:28
trans701,23.27,300,19:42:04
trans702,15.27,1534,12:49:02
trans703,16.25,1276,16:56:14
trans704,21.27,1002,19:52:04
trans705,22.75,242,14:08:16
trans706,19.73,1896,11:09:15
trans707,14.77,743,19:47:11
trans708,14.5,264,09:34:02
trans709,27.89,1715,14:04:50
trans710,12.27,2240,18:02:55
trans711,5.0,969,13:11:20
trans712,17.0,2487,19:26:51
trans713,20.5,10,09:07:48
trans714,19.869999999999997,905,13:12:33
trans715,10.87,1788,10:49:57
trans716,23.0,1015,19:50:11
trans717,28.619999999999997,943,13:21:59
trans718,12.25,1727,10:28:51
trans719,27.64,751,18:37:27
trans720,23.619999999999997,418,15:10:51
trans721,17.119999999999997,451,11:23:15
trans722,13.6,33,17:18:59
trans723,20.54,2441,12:12:14
trans724,11.37,1821,18:42:02
trans725,21.77,178,15:29:43
trans726,19.5,422,19:26:14
trans727,19.0,1378,12:21:26
trans728,12.5,1269,18:38:39
trans729,22.27,938,13:43:12
trans730,12.5,1280,10:34:13
trans731,13.0,2141,13:07:44
trans732,22.39,609,19:48:27
trans733,11.0,939,09:50:17
trans734,25.39,541,10:15:21
trans735,24.98,672,14:54:00
trans736,18.29,2223,19:04:25
trans737,16.02,596,12:33:02
trans738,25.39,1389,14:13:50
trans739,6.77,2489,16:55:30
trans740,20.7,2149,09:45:43
trans741,26.369999999999997,1891,16:07:29
trans742,22.869999999999997,1224,12:37:41
trans743,20.5,1197,16:01:01
trans744,19.369999999999997,977,16:05:33
trans745,17.25,1292,16:11:20
trans746,24.52,1321,19:06:02
trans747,22.27,264,11:57:50
trans748,20.27,1638,09:22:12
trans749,18.73,1453,18:23:58
trans750,15.0,1048,09:47:58
trans751,12.77,1295,19:51:34
trans752,17.5,2008,14:37:38
trans753,15.0,516,19:23:18
trans754,18.5,2449,13:50:09
trans755,17.0,2367,13:53:23
trans756,27.77,2383,11:21:51
trans757,24.0,1342,09:38:43
trans758,15.23,1118,17:53:01
trans759,22.5,1283,10:00:19
trans760,14.5,1334,15:41:30
trans761,24.97,1863,12:09:02
trans762,20.0,831,16:47:54
trans763,13.0,1269,12:00:20
trans764,26.72,586,17:22:28
trans765,28.39,1370,16:57:11
trans766,25.29,1712,11:35:01
trans767,20.0,1233,15:45:28
trans768,15.62,1007,10:47:26
trans769,19.39,1763,13:09:56
trans770,8.27,660,18:10:46
trans771,21.12,1590,10:24:01
trans772,19.5,106,15:58:11
trans773,28.39,336,12:07:45
trans774,21.77,848,10:07:27
trans775,16.75,1193,13:12:39
trans776,22.54,1359,12:20:56
trans777,24.119999999999997,2296,16:48:10
trans778,18.73,256,12:16:26
trans779,16.619999999999997,1598,11:47:10
trans780,30.77,946,17:51:48
trans781,26.5,332,10:23:07
trans782,19.369999999999997,2444,12:41:10
trans783,16.369999999999997,2094,14:56:20
trans784,6.77,2246,11:27:14
trans785,22.5,1296,15:43:11
trans786,23.5,826,12:26:41
trans787,18.5,132,19:10:24
trans788,19.5,365,13:52:14
trans789,20.77,1123,19:26:30
trans790,23.73,915,18:25:47
trans791,21.5,2472,17:09:52
trans792,25.25,798,16:06:46
trans793,26.02,643,09:10:36
trans794,36.77,320,14:16:10
trans795,16.5,142,14:41:29
trans796,16.0,2236,16:10:06
trans797,27.23,2083,10:45:47
trans798,4.0,1277,15:53:49
trans799,12.77,1726,14:18:54
trans800,16.27,529,09:13:24
trans801,17.27,1801,19:57:17
trans802,24.0,444,10:46:44
trans803,21.619999999999997,2314,13:23:10
trans804,9.23,1497,19:43:10
trans805,26.5,1506,12:15:12
trans806,17.6,310,19:51:30
trans807,22.619999999999997,2403,15:31:48
trans808,31.0,925,19:02:03
trans809,27.73,2280,17:26:59
trans810,16.27,2394,15:45:39
trans811,15.77,1524,18:14:58
trans812,15.37,1259,09:59:13
trans813,27.04,809,11:37:46
trans814,22.0,1740,15:58:05
trans815,27.5,786,11:06:21
trans816,17.5,1532,11:16:34
trans817,5.75,1029,18:52:55
trans818,18.39,1543,11:40:00
